GEOID,high_earners
6001,145696
6003,30
6005,1220
6007,6860
6009,2046
6011,673
6013,100758
6015,464
6017,13490
6019,27004
6021,465
6023,3101
6025,3073
6027,517
6029,23553
6031,2943
6033,1292
6035,794
6037,501413
6039,2934
6041,36709
6043,435
6045,2317
6047,5933
6049,87
6051,376
6053,17144
6055,10577
6057,5177
6059,233459
6061,28334
6063,642
6065,84359
6067,65768
6069,3088
6071,62380
6073,194676
6075,114989
6077,24530
6079,15110
6081,90392
6083,25231
6085,221273
6087,19628
6089,5559
6091,111
6093,900
6095,23192
6097,32713
6099,14864
6101,2720
6103,1394
6105,261
6107,9056
6109,2059
6111,57121
6113,11669
6115,1673
