GEOID,median_age
06001,37.3
06003,44.9
06005,50.6
06007,36.9
06009,51.6
06011,34.7
06013,39.2
06015,38.7
06017,45.5
06019,31.8
06021,36.8
06023,37.7
06025,32.2
06027,45.6
06029,31.3
06031,31.5
06033,45.8
06035,36.2
06037,36.0
06039,33.7
06041,46.1
06043,51.1
06045,42.4
06047,30.8
06049,47.8
06051,38.3
06053,33.9
06055,40.8
06057,49.8
06059,37.5
06061,41.6
06063,52.1
06065,35.0
06067,35.9
06069,35.4
06071,32.9
06073,35.4
06075,38.3
06077,33.9
06079,39.0
06081,39.6
06083,33.7
06085,37.0
06087,37.3
06089,41.8
06091,55.0
06093,47.9
06095,37.7
06097,41.4
06099,33.9
06101,35.7
06103,41.1
06105,51.4
06107,30.6
06109,48.6
06111,37.5
06113,30.9
06115,32.4
